Time,Channel A,Channel B
(ms),(mV),(V)

-60.00288954,3.55206900,-1.73635700
-60.00188954,3.55176400,-1.73925700
-60.00088954,3.55145900,-1.73925700
-59.99988954,3.55145900,-1.74215600
-59.99888954,3.55115300,-1.74215600
-59.99788954,3.55084800,-1.74215600
-59.99688954,3.55054300,-1.73925700
-59.99588954,3.55054300,-1.74215600
-59.99488954,3.55023800,-1.73925700
-59.99388954,3.54993200,-1.73925700
-59.99288954,3.54993200,-1.73925700
-59.99188954,3.54962700,-1.73635700
-59.99088954,3.54932200,-1.73635700
-59.98988954,3.54932200,-1.73635700
-59.98888954,3.54901700,-1.73925700
-59.98788954,3.54871200,-1.73925700
-59.98688954,3.54871200,-1.74215600
-59.98588954,3.54840700,-1.73635700
-59.98488954,3.54810100,-1.73635700
-59.98388954,3.54810100,-1.73635700
-59.98288954,3.54779600,-1.73635700
-59.98188954,3.54749100,-1.73345700
-59.98088954,3.54749100,-1.73925700
-59.97988954,3.54718600,-1.73925700
-59.97888954,3.54688000,-1.73925700
-59.97788954,3.54688000,-1.73635700
-59.97688954,3.54657500,-1.73635700
-59.97588954,3.54627000,-1.73635700
-59.97488954,3.54596500,-1.73635700
-59.97388954,3.54596500,-1.73635700
-59.97288954,3.54566000,-1.73925700
-59.97188954,3.54535400,-1.73635700
-59.97088954,3.54535400,-1.73635700
-59.96988954,3.54504900,-1.73635700
-59.96888954,3.54474400,-1.73925700
-59.96788954,3.54474400,-1.73635700
-59.96688954,3.54443900,-1.73925700
-59.96588954,3.54413400,-1.73635700
-59.96488954,3.54413400,-1.73925700
-59.96388954,3.54382800,-1.73635700
-59.96288954,3.54352300,-1.73635700
-59.96188954,3.54352300,-1.73635700
-59.96088954,3.54321800,-1.73345700
-59.95988954,3.54291300,-1.73635700
-59.95888954,3.54291300,-1.73635700
-59.95788954,3.54260800,-1.73925700
-59.95688954,3.54230200,-1.73635700
-59.95588954,3.54199700,-1.73345700
-59.95488954,3.54199700,-1.73635700
-59.95388954,3.54169200,-1.73635700
-59.95288954,3.54138700,-1.73925700
-59.95188954,3.54138700,-1.73635700
-59.95088954,3.54108100,-1.73635700
-59.94988954,3.54077600,-1.73635700
-59.94888954,3.54077600,-1.73635700
-59.94788954,3.54047100,-1.73345700
-59.94688954,3.54016600,-1.73345700
-59.94588954,3.54016600,-1.73635700
-59.94488954,3.53986000,-1.73635700
-59.94388954,3.53955500,-1.73635700
-59.94288954,3.53955500,-1.73925700
-59.94188954,3.53925000,-1.73635700
-59.94088954,3.53894500,-1.73635700
-59.93988954,3.53894500,-1.73345700
-59.93888954,3.53864000,-1.73635700
-59.93788954,3.53833500,-1.73345700
-59.93688954,3.53802900,-1.73635700
-59.93588954,3.53802900,-1.73635700
-59.93488954,3.53772400,-1.73345700
-59.93388954,3.53741900,-1.73635700
-59.93288954,3.53741900,-1.73635700
-59.93188954,3.53711400,-1.73635700
-59.93088954,3.53680800,-1.73635700
-59.92988954,3.53680800,-1.73345700
-59.92888954,3.53650300,-1.73345700
-59.92788954,3.53619800,-1.73345700
-59.92688954,3.53619800,-1.73345700
-59.92588954,3.53589300,-1.72765800
-59.92488954,3.53558800,-1.73055800
-59.92388954,3.53558800,-1.73635700
-59.92288954,3.53528200,-1.73635700
-59.92188954,3.53497700,-1.73635700
-59.92088954,3.53497700,-1.73345700
-59.91988954,3.53467200,-1.73635700
-59.91888954,3.53436700,-1.73345700
-59.91788954,3.53436700,-1.73635700
-59.91688954,3.53406200,-1.73635700
-59.91588954,3.53375600,-1.74215600
-59.91488954,3.53345100,-1.74215600
-59.91388954,3.53345100,-1.73635700
-59.91288954,3.53314600,-1.73635700
-59.91188954,3.53284100,-1.73635700
-59.91088954,3.53284100,-1.73345700
-59.90988954,3.53253500,-1.73635700
-59.90888954,3.53223000,-1.73635700
-59.90788954,3.53223000,-1.73635700
-59.90688954,3.53192500,-1.73635700
-59.90588954,3.53162000,-1.73635700
-59.90488954,3.53162000,-1.73345700
-59.90388954,3.53131500,-1.73345700
-59.90288954,3.53100900,-1.74505600
-59.90188954,3.53100900,-1.73925700
-59.90088954,3.53070400,-1.73345700
-59.89988954,3.53039900,-1.73635700
-59.89888954,3.53039900,-1.73635700
-59.89788954,3.53009400,-1.73345700
-59.89688954,3.52978800,-1.73345700
-59.89588954,3.52948300,-1.73345700
-59.89488954,3.52948300,-1.73925700
-59.89388954,3.52917800,-1.73345700
-59.89288954,3.52887300,-1.73635700
-59.89188954,3.52887300,-1.73925700
-59.89088954,3.52856800,-1.73345700
-59.88988954,3.52826300,-1.73345700
-59.88888954,3.52826300,-1.73635700
-59.88788954,3.52795700,-1.73345700
-59.88688954,3.52765200,-1.73635700
-59.88588954,3.52765200,-1.73345700
-59.88488954,3.52734700,-1.73345700
-59.88388954,3.52704100,-1.73055800
-59.88288954,3.52704100,-1.73635700
-59.88188954,3.52673600,-1.73635700
-59.88088954,3.52643100,-1.73345700
-59.87988954,3.52643100,-1.72201200
-59.87888954,3.52612600,-1.73345700
-59.87788954,3.52582100,-1.73345700
-59.87688954,3.52582100,-1.73635700
-59.87588954,3.52551600,-1.73345700
-59.87488954,3.52521000,-1.73345700
-59.87388954,3.52490500,-1.73635700
-59.87288954,3.52490500,-1.73345700
-59.87188954,3.52460000,-1.73345700
-59.87088954,3.52429500,-1.73345700
-59.86988954,3.52429500,-1.73345700
-59.86888954,3.52399000,-1.73345700
-59.86788954,3.52368400,-1.73345700
-59.86688954,3.52368400,-1.73055800
-59.86588954,3.52337900,-1.73345700
-59.86488954,3.52307400,-1.73345700
-59.86388954,3.52307400,-1.73345700
-59.86288954,3.52276900,-1.73635700
-59.86188954,3.52246300,-1.73055800
-59.86088954,3.52246300,-1.73345700
-59.85988954,3.52215800,-1.73345700
-59.85888954,3.52185300,-1.73345700
-59.85788954,3.52185300,-1.73345700
-59.85688954,3.52154800,-1.73635700
-59.85588954,3.52124300,-1.73635700
-59.85488954,3.52093700,-1.73345700
-59.85388954,3.52093700,-1.73345700
-59.85288954,3.52063200,-1.73345700
-59.85188954,3.52032700,-1.73345700
-59.85088954,3.52032700,-1.73055800
-59.84988954,3.52002200,-1.73345700
-59.84888954,3.51971700,-1.73345700
-59.84788954,3.51971700,-1.73345700
-59.84688954,3.51941100,-1.73055800
