Time,Channel A,Channel B
(ms),(mV),(V)

-60.00258913,-1.02704200,-1.73925700
-60.00158913,-1.02734700,-1.73925700
-60.00058913,-1.02734700,-1.73635700
-59.99958913,-1.02765200,-1.74215600
-59.99858913,-1.02765200,-1.73635700
-59.99758913,-1.02795700,-1.73925700
-59.99658913,-1.02826300,-1.73925700
-59.99558913,-1.02826300,-1.73635700
-59.99458913,-1.02856800,-1.73635700
-59.99358913,-1.02856800,-1.73925700
-59.99258913,-1.02887300,-1.73925700
-59.99158913,-1.02917800,-1.73925700
-59.99058913,-1.02917800,-1.73635700
-59.98958913,-1.02948400,-1.73635700
-59.98858913,-1.02948400,-1.73925700
-59.98758913,-1.02978900,-1.73635700
-59.98658913,-1.03009400,-1.73345700
-59.98558913,-1.03009400,-1.74215600
-59.98458913,-1.03039900,-1.73635700
-59.98358913,-1.03070400,-1.73635700
-59.98258913,-1.03070400,-1.73635700
-59.98158913,-1.03101000,-1.73925700
-59.98058913,-1.03101000,-1.73635700
-59.97958913,-1.03131500,-1.73635700
-59.97858913,-1.03162000,-1.73635700
-59.97758913,-1.03162000,-1.73635700
-59.97658913,-1.03192500,-1.73635700
-59.97558913,-1.03192500,-1.73345700
-59.97458913,-1.03223000,-1.73635700
-59.97358913,-1.03253600,-1.73635700
-59.97258913,-1.03253600,-1.73635700
-59.97158913,-1.03284100,-1.73635700
-59.97058913,-1.03284100,-1.73635700
-59.96958913,-1.03314600,-1.73635700
-59.96858913,-1.03345100,-1.73635700
-59.96758913,-1.03345100,-1.73345700
-59.96658913,-1.03375600,-1.73635700
-59.96558913,-1.03375600,-1.73925700
-59.96458913,-1.03406200,-1.73925700
-59.96358913,-1.03436700,-1.74780200
-59.96258913,-1.03436700,-1.73055800
-59.96158913,-1.03467200,-1.73635700
-59.96058913,-1.03467200,-1.73925700
-59.95958913,-1.03497700,-1.73635700
-59.95858913,-1.03528300,-1.73635700
-59.95758913,-1.03528300,-1.73635700
-59.95658913,-1.03558800,-1.73345700
-59.95558913,-1.03589300,-1.73635700
-59.95458913,-1.03589300,-1.73345700
-59.95358913,-1.03619800,-1.73345700
-59.95258913,-1.03619800,-1.73345700
-59.95158913,-1.03650300,-1.73635700
-59.95058913,-1.03680900,-1.73345700
-59.94958913,-1.03680900,-1.73635700
-59.94858913,-1.03711400,-1.73635700
-59.94758913,-1.03711400,-1.73635700
-59.94658913,-1.03741900,-1.73345700
-59.94558913,-1.03772400,-1.73635700
-59.94458913,-1.03772400,-1.73635700
-59.94358913,-1.03803000,-1.73635700
-59.94258913,-1.03803000,-1.73345700
-59.94158913,-1.03833500,-1.73055800
-59.94058913,-1.03864000,-1.72765800
-59.93958913,-1.03864000,-1.73345700
-59.93858913,-1.03894500,-1.73635700
-59.93758913,-1.03925000,-1.73345700
-59.93658913,-1.03925000,-1.73345700
-59.93558913,-1.03955600,-1.73635700
-59.93458913,-1.03955600,-1.73345700
-59.93358913,-1.03986100,-1.73345700
-59.93258913,-1.04016600,-1.73345700
-59.93158913,-1.04016600,-1.73635700
-59.93058913,-1.04047100,-1.73635700
-59.92958913,-1.04047100,-1.73635700
-59.92858913,-1.04077600,-1.73635700
-59.92758913,-1.04108200,-1.73345700
-59.92658913,-1.04108200,-1.73345700
-59.92558913,-1.04138700,-1.73345700
-59.92458913,-1.04138700,-1.73345700
-59.92358913,-1.04169200,-1.73635700
-59.92258913,-1.04199700,-1.73345700
-59.92158913,-1.04199700,-1.73635700
-59.92058913,-1.04230200,-1.73345700
-59.91958913,-1.04260800,-1.73345700
-59.91858913,-1.04260800,-1.74505600
-59.91758913,-1.04291300,-1.73635700
-59.91658913,-1.04291300,-1.73345700
-59.91558913,-1.04321800,-1.73345700
-59.91458913,-1.04352300,-1.73635700
-59.91358913,-1.04352300,-1.73345700
-59.91258913,-1.04382800,-1.73635700
-59.91158913,-1.04382800,-1.73345700
-59.91058913,-1.04413400,-1.73345700
-59.90958913,-1.04443900,-1.73345700
-59.90858913,-1.04443900,-1.73635700
-59.90758913,-1.04474400,-1.73635700
-59.90658913,-1.04474400,-1.73635700
-59.90558913,-1.04504900,-1.73635700
-59.90458913,-1.04535500,-1.73345700
-59.90358913,-1.04535500,-1.73345700
-59.90258913,-1.04566000,-1.73635700
-59.90158913,-1.04596500,-1.73635700
-59.90058913,-1.04596500,-1.73635700
-59.89958913,-1.04627000,-1.73635700
-59.89858913,-1.04627000,-1.73635700
-59.89758913,-1.04657500,-1.73345700
-59.89658913,-1.04688100,-1.72765800
-59.89558913,-1.04688100,-1.73055800
-59.89458913,-1.04718600,-1.73055800
-59.89358913,-1.04718600,-1.73635700
-59.89258913,-1.04749100,-1.73345700
-59.89158913,-1.04779600,-1.73635700
-59.89058913,-1.04779600,-1.73345700
-59.88958913,-1.04810200,-1.73345700
-59.88858913,-1.04840700,-1.73345700
-59.88758913,-1.04840700,-1.73345700
-59.88658913,-1.04871200,-1.73345700
-59.88558913,-1.04871200,-1.73055800
-59.88458913,-1.04901700,-1.73345700
-59.88358913,-1.04932200,-1.73345700
-59.88258913,-1.04932200,-1.73345700
-59.88158913,-1.04962800,-1.73345700
-59.88058913,-1.04962800,-1.73345700
-59.87958913,-1.04993300,-1.73345700
-59.87858913,-1.05023800,-1.73345700
-59.87758913,-1.05023800,-1.73345700
-59.87658913,-1.05054300,-1.73055800
-59.87558913,-1.05084800,-1.73055800
-59.87458913,-1.05084800,-1.73925700
-59.87358913,-1.05115400,-1.73345700
-59.87258913,-1.05115400,-1.72765800
-59.87158913,-1.05145900,-1.73345700
-59.87058913,-1.05176400,-1.73345700
-59.86958913,-1.05176400,-1.73345700
-59.86858913,-1.05206900,-1.73055800
-59.86758913,-1.05206900,-1.73345700
-59.86658913,-1.05237400,-1.73635700
-59.86558913,-1.05268000,-1.73635700
-59.86458913,-1.05268000,-1.73635700
-59.86358913,-1.05298500,-1.73345700
-59.86258913,-1.05329000,-1.73345700
-59.86158913,-1.05329000,-1.73345700
-59.86058913,-1.05359500,-1.73055800
-59.85958913,-1.05359500,-1.73055800
-59.85858913,-1.05390000,-1.73055800
-59.85758913,-1.05420600,-1.73345700
-59.85658913,-1.05420600,-1.73635700
-59.85558913,-1.05451100,-1.73345700
-59.85458913,-1.05481600,-1.73345700
-59.85358913,-1.05481600,-1.73055800
