Time,Channel A,Channel B
(ms),(mV),(V)

-60.00238287,-3.42388000,-1.72491100
-60.00138287,-3.42357400,-1.72765800
-60.00038287,-3.42326900,-1.73055800
-59.99938287,-3.42296400,-1.73635700
-59.99838287,-3.42265900,-1.73345700
-59.99738287,-3.42235400,-1.72765800
-59.99638287,-3.42204800,-1.74215600
-59.99538287,-3.42204800,-1.73345700
-59.99438287,-3.42174300,-1.73345700
-59.99338287,-3.42143800,-1.73055800
-59.99238287,-3.42113300,-1.73345700
-59.99138287,-3.42082700,-1.73345700
-59.99038287,-3.42052200,-1.73055800
-59.98938287,-3.42021700,-1.73055800
-59.98838287,-3.42021700,-1.73055800
-59.98738287,-3.41991200,-1.73055800
-59.98638287,-3.41960700,-1.73055800
-59.98538287,-3.41930200,-1.73055800
-59.98438287,-3.41899600,-1.73345700
-59.98338287,-3.41869100,-1.73345700
-59.98238287,-3.41838600,-1.73345700
-59.98138287,-3.41838600,-1.72765800
-59.98038287,-3.41808100,-1.73055800
-59.97938287,-3.41777500,-1.73055800
-59.97838287,-3.41747000,-1.72765800
-59.97738287,-3.41716500,-1.73055800
-59.97638287,-3.41686000,-1.73055800
-59.97538287,-3.41655400,-1.73055800
-59.97438287,-3.41655400,-1.73635700
-59.97338287,-3.41624900,-1.73345700
-59.97238287,-3.41594400,-1.72765800
-59.97138287,-3.41563900,-1.73055800
-59.97038287,-3.41533400,-1.73055800
-59.96938287,-3.41502800,-1.73055800
-59.96838287,-3.41502800,-1.73055800
-59.96738287,-3.41472300,-1.73345700
-59.96638287,-3.41441800,-1.73055800
-59.96538287,-3.41411300,-1.73055800
-59.96438287,-3.41380800,-1.73055800
-59.96338287,-3.41350200,-1.73055800
-59.96238287,-3.41319700,-1.73345700
-59.96138287,-3.41319700,-1.72765800
-59.96038287,-3.41289200,-1.73055800
-59.95938287,-3.41258700,-1.73055800
-59.95838287,-3.41228200,-1.73055800
-59.95738287,-3.41197600,-1.73055800
-59.95638287,-3.41167100,-1.73345700
-59.95538287,-3.41136600,-1.73055800
-59.95438287,-3.41136600,-1.73055800
-59.95338287,-3.41106100,-1.73345700
-59.95238287,-3.41075500,-1.73345700
-59.95138287,-3.41045000,-1.72765800
-59.95038287,-3.41014500,-1.72491100
-59.94938287,-3.40984000,-1.72765800
-59.94838287,-3.40953500,-1.73055800
-59.94738287,-3.40953500,-1.73055800
-59.94638287,-3.40923000,-1.73055800
-59.94538287,-3.40892400,-1.73345700
-59.94438287,-3.40861900,-1.73055800
-59.94338287,-3.40831400,-1.73055800
-59.94238287,-3.40800900,-1.72765800
-59.94138287,-3.40800900,-1.73055800
-59.94038287,-3.40770300,-1.73055800
-59.93938287,-3.40739800,-1.72765800
-59.93838287,-3.40709300,-1.73055800
-59.93738287,-3.40678800,-1.73055800
-59.93638287,-3.40648200,-1.72765800
-59.93538287,-3.40617700,-1.73055800
-59.93438287,-3.40617700,-1.72765800
-59.93338287,-3.40587200,-1.73055800
-59.93238287,-3.40556700,-1.73055800
-59.93138287,-3.40526200,-1.72765800
-59.93038287,-3.40495600,-1.72765800
-59.92938287,-3.40465100,-1.73925700
-59.92838287,-3.40434600,-1.73345700
-59.92738287,-3.40434600,-1.72765800
-59.92638287,-3.40404100,-1.73055800
-59.92538287,-3.40373600,-1.73055800
-59.92438287,-3.40343000,-1.73055800
-59.92338287,-3.40312500,-1.72765800
-59.92238287,-3.40282000,-1.72765800
-59.92138287,-3.40282000,-1.72765800
-59.92038287,-3.40251500,-1.73055800
-59.91938287,-3.40220900,-1.73055800
-59.91838287,-3.40190400,-1.73055800
-59.91738287,-3.40159900,-1.72765800
-59.91638287,-3.40129400,-1.72765800
-59.91538287,-3.40098900,-1.72765800
-59.91438287,-3.40098900,-1.72765800
-59.91338287,-3.40068300,-1.72765800
-59.91238287,-3.40037800,-1.73345700
-59.91138287,-3.40007300,-1.73055800
-59.91038287,-3.39976800,-1.73055800
-59.90938287,-3.39946200,-1.72765800
-59.90838287,-3.39915800,-1.72765800
-59.90738287,-3.39915800,-1.72765800
-59.90638287,-3.39885200,-1.72491100
-59.90538287,-3.39854700,-1.73345700
-59.90438287,-3.39824200,-1.72765800
-59.90338287,-3.39793700,-1.72765800
-59.90238287,-3.39763100,-1.73055800
-59.90138287,-3.39732600,-1.73055800
-59.90038287,-3.39732600,-1.72765800
-59.89938287,-3.39702100,-1.72765800
-59.89838287,-3.39671600,-1.72765800
-59.89738287,-3.39641000,-1.73055800
-59.89638287,-3.39610500,-1.73055800
-59.89538287,-3.39580000,-1.72765800
-59.89438287,-3.39580000,-1.72765800
-59.89338287,-3.39549500,-1.73055800
-59.89238287,-3.39519000,-1.73055800
-59.89138287,-3.39488400,-1.72765800
-59.89038287,-3.39457900,-1.72491100
-59.88938287,-3.39427400,-1.72765800
-59.88838287,-3.39396900,-1.73055800
-59.88738287,-3.39396900,-1.72765800
-59.88638287,-3.39366400,-1.73345700
-59.88538287,-3.39335800,-1.72765800
-59.88438287,-3.39305300,-1.72765800
-59.88338287,-3.39274800,-1.72765800
-59.88238287,-3.39244300,-1.72765800
-59.88138287,-3.39244300,-1.72765800
-59.88038287,-3.39213700,-1.72765800
-59.87938287,-3.39183200,-1.72765800
-59.87838287,-3.39152700,-1.72765800
-59.87738287,-3.39122200,-1.72765800
-59.87638287,-3.39091700,-1.72765800
-59.87538287,-3.39061100,-1.72765800
-59.87438287,-3.39061100,-1.72491100
-59.87338287,-3.39030600,-1.73055800
-59.87238287,-3.39000100,-1.72765800
-59.87138287,-3.38969600,-1.72765800
-59.87038287,-3.38939000,-1.72491100
-59.86938287,-3.38908600,-1.72491100
-59.86838287,-3.38878000,-1.72765800
-59.86738287,-3.38878000,-1.73055800
-59.86638287,-3.38847500,-1.72491100
-59.86538287,-3.38817000,-1.72765800
-59.86438287,-3.38786500,-1.72765800
-59.86338287,-3.38755900,-1.72765800
-59.86238287,-3.38725400,-1.72491100
-59.86138287,-3.38725400,-1.71911200
-59.86038287,-3.38694900,-1.71911200
-59.85938287,-3.38664400,-1.72765800
-59.85838287,-3.38633800,-1.72765800
-59.85738287,-3.38603300,-1.72765800
-59.85638287,-3.38572800,-1.72765800
-59.85538287,-3.38542300,-1.72765800
-59.85438287,-3.38542300,-1.72765800
-59.85338287,-3.38511800,-1.72491100
