Time,Channel A,Channel B
(ms),(mV),(V)

-60.00285335,-6.25747700,-1.73055800
-60.00185335,-6.25747700,-1.73055800
-60.00085335,-6.25747700,-1.73055800
-59.99985335,-6.25747700,-1.73345700
-59.99885335,-6.25717200,-1.73345700
-59.99785335,-6.25717200,-1.73055800
-59.99685335,-6.25717200,-1.73055800
-59.99585335,-6.25717200,-1.73055800
-59.99485335,-6.25717200,-1.72765800
-59.99385335,-6.25686700,-1.72765800
-59.99285335,-6.25686700,-1.73055800
-59.99185335,-6.25686700,-1.73055800
-59.99085335,-6.25686700,-1.73055800
-59.98985335,-6.25686700,-1.73055800
-59.98885335,-6.25686700,-1.73055800
-59.98785335,-6.25656200,-1.73055800
-59.98685335,-6.25656200,-1.71911200
-59.98585335,-6.25656200,-1.73055800
-59.98485335,-6.25656200,-1.72765800
-59.98385335,-6.25656200,-1.73055800
-59.98285335,-6.25625600,-1.73635700
-59.98185335,-6.25625600,-1.73345700
-59.98085335,-6.25625600,-1.73345700
-59.97985335,-6.25625600,-1.73055800
-59.97885335,-6.25625600,-1.73055800
-59.97785335,-6.25595100,-1.73055800
-59.97685335,-6.25595100,-1.72765800
-59.97585335,-6.25595100,-1.73055800
-59.97485335,-6.25595100,-1.73055800
-59.97385335,-6.25595100,-1.73055800
-59.97285335,-6.25564600,-1.72765800
-59.97185335,-6.25564600,-1.73055800
-59.97085335,-6.25564600,-1.73055800
-59.96985335,-6.25564600,-1.73055800
-59.96885335,-6.25564600,-1.73055800
-59.96785335,-6.25534100,-1.73055800
-59.96685335,-6.25534100,-1.73055800
-59.96585335,-6.25534100,-1.73055800
-59.96485335,-6.25534100,-1.73055800
-59.96385335,-6.25534100,-1.73345700
-59.96285335,-6.25534100,-1.73055800
-59.96185335,-6.25503500,-1.73345700
-59.96085335,-6.25503500,-1.73055800
-59.95985335,-6.25503500,-1.73055800
-59.95885335,-6.25503500,-1.72765800
-59.95785335,-6.25503500,-1.73055800
-59.95685335,-6.25473000,-1.73345700
-59.95585335,-6.25473000,-1.73055800
-59.95485335,-6.25473000,-1.73055800
-59.95385335,-6.25473000,-1.73055800
-59.95285335,-6.25473000,-1.73055800
-59.95185335,-6.25442600,-1.73055800
-59.95085335,-6.25442600,-1.73055800
-59.94985335,-6.25442600,-1.73055800
-59.94885335,-6.25442600,-1.73055800
-59.94785335,-6.25442600,-1.73055800
-59.94685335,-6.25412000,-1.73055800
-59.94585335,-6.25412000,-1.72765800
-59.94485335,-6.25412000,-1.72765800
-59.94385335,-6.25412000,-1.73055800
-59.94285335,-6.25412000,-1.72765800
-59.94185335,-6.25381500,-1.73055800
-59.94085335,-6.25381500,-1.72765800
-59.93985335,-6.25381500,-1.73055800
-59.93885335,-6.25381500,-1.72765800
-59.93785335,-6.25381500,-1.73055800
-59.93685335,-6.25381500,-1.72765800
-59.93585335,-6.25351000,-1.72765800
-59.93485335,-6.25351000,-1.72765800
-59.93385335,-6.25351000,-1.73055800
-59.93285335,-6.25351000,-1.72765800
-59.93185335,-6.25351000,-1.72765800
-59.93085335,-6.25320400,-1.73055800
-59.92985335,-6.25320400,-1.73055800
-59.92885335,-6.25320400,-1.72765800
-59.92785335,-6.25320400,-1.72491100
-59.92685335,-6.25320400,-1.72765800
-59.92585335,-6.25289900,-1.73055800
-59.92485335,-6.25289900,-1.72765800
-59.92385335,-6.25289900,-1.73055800
-59.92285335,-6.25289900,-1.72765800
-59.92185335,-6.25289900,-1.72765800
-59.92085335,-6.25259400,-1.72765800
-59.91985335,-6.25259400,-1.73635700
-59.91885335,-6.25259400,-1.73635700
-59.91785335,-6.25259400,-1.73345700
-59.91685335,-6.25259400,-1.72765800
-59.91585335,-6.25228800,-1.73055800
-59.91485335,-6.25228800,-1.72765800
-59.91385335,-6.25228800,-1.73055800
-59.91285335,-6.25228800,-1.72765800
-59.91185335,-6.25228800,-1.72765800
-59.91085335,-6.25228800,-1.72765800
-59.90985335,-6.25198400,-1.73055800
-59.90885335,-6.25198400,-1.72765800
-59.90785335,-6.25198400,-1.73055800
-59.90685335,-6.25198400,-1.72765800
-59.90585335,-6.25198400,-1.72765800
-59.90485335,-6.25167800,-1.72765800
-59.90385335,-6.25167800,-1.73055800
-59.90285335,-6.25167800,-1.73055800
-59.90185335,-6.25167800,-1.72765800
-59.90085335,-6.25167800,-1.72765800
-59.89985335,-6.25137300,-1.72765800
-59.89885335,-6.25137300,-1.72765800
-59.89785335,-6.25137300,-1.72491100
-59.89685335,-6.25137300,-1.72491100
-59.89585335,-6.25137300,-1.72201200
-59.89485335,-6.25106800,-1.72765800
-59.89385335,-6.25106800,-1.72765800
-59.89285335,-6.25106800,-1.73055800
-59.89185335,-6.25106800,-1.72765800
-59.89085335,-6.25106800,-1.72491100
-59.88985335,-6.25076200,-1.72765800
-59.88885335,-6.25076200,-1.72765800
-59.88785335,-6.25076200,-1.72765800
-59.88685335,-6.25076200,-1.72491100
-59.88585335,-6.25076200,-1.72491100
-59.88485335,-6.25045700,-1.72765800
-59.88385335,-6.25045700,-1.72765800
-59.88285335,-6.25045700,-1.72765800
-59.88185335,-6.25045700,-1.72491100
-59.88085335,-6.25045700,-1.72491100
-59.87985335,-6.25045700,-1.72765800
-59.87885335,-6.25015200,-1.72765800
-59.87785335,-6.25015200,-1.72765800
-59.87685335,-6.25015200,-1.72765800
-59.87585335,-6.25015200,-1.72765800
-59.87485335,-6.25015200,-1.72491100
-59.87385335,-6.24984700,-1.72765800
-59.87285335,-6.24984700,-1.73055800
-59.87185335,-6.24984700,-1.72765800
-59.87085335,-6.24984700,-1.72765800
-59.86985335,-6.24984700,-1.72765800
-59.86885335,-6.24954100,-1.72765800
-59.86785335,-6.24954100,-1.72491100
-59.86685335,-6.24954100,-1.72765800
-59.86585335,-6.24954100,-1.72491100
-59.86485335,-6.24954100,-1.72491100
-59.86385335,-6.24923700,-1.72765800
-59.86285335,-6.24923700,-1.72765800
-59.86185335,-6.24923700,-1.72491100
-59.86085335,-6.24923700,-1.72491100
-59.85985335,-6.24923700,-1.72491100
-59.85885335,-6.24893100,-1.72491100
-59.85785335,-6.24893100,-1.72765800
-59.85685335,-6.24893100,-1.73055800
-59.85585335,-6.24893100,-1.72765800
-59.85485335,-6.24893100,-1.72201200
-59.85385335,-6.24862600,-1.72491100
