Time,Channel A,Channel B
(ms),(mV),(V)

-60.00250685,-4.12922700,-1.73055800
-60.00150685,-4.12922700,-1.73055800
-60.00050685,-4.12922700,-1.73055800
-59.99950685,-4.12922700,-1.73055800
-59.99850685,-4.12922700,-1.73055800
-59.99750685,-4.12922700,-1.73055800
-59.99650685,-4.12922700,-1.73345700
-59.99550685,-4.12922700,-1.73345700
-59.99450685,-4.12922700,-1.73055800
-59.99350685,-4.12922700,-1.73345700
-59.99250685,-4.12922700,-1.73055800
-59.99150685,-4.12922700,-1.73345700
-59.99050685,-4.12892200,-1.73055800
-59.98950685,-4.12892200,-1.72765800
-59.98850685,-4.12892200,-1.72765800
-59.98750685,-4.12892200,-1.72765800
-59.98650685,-4.12892200,-1.73925700
-59.98550685,-4.12892200,-1.73345700
-59.98450685,-4.12892200,-1.73055800
-59.98350685,-4.12892200,-1.73055800
-59.98250685,-4.12892200,-1.73055800
-59.98150685,-4.12892200,-1.73055800
-59.98050685,-4.12892200,-1.73055800
-59.97950685,-4.12892200,-1.73055800
-59.97850685,-4.12892200,-1.73055800
-59.97750685,-4.12892200,-1.73055800
-59.97650685,-4.12861600,-1.72765800
-59.97550685,-4.12861600,-1.73055800
-59.97450685,-4.12861600,-1.73345700
-59.97350685,-4.12861600,-1.73345700
-59.97250685,-4.12861600,-1.73055800
-59.97150685,-4.12861600,-1.73055800
-59.97050685,-4.12861600,-1.73345700
-59.96950685,-4.12861600,-1.73345700
-59.96850685,-4.12861600,-1.73055800
-59.96750685,-4.12861600,-1.73055800
-59.96650685,-4.12861600,-1.73055800
-59.96550685,-4.12861600,-1.73345700
-59.96450685,-4.12861600,-1.73925700
-59.96350685,-4.12831100,-1.72765800
-59.96250685,-4.12831100,-1.73055800
-59.96150685,-4.12831100,-1.73055800
-59.96050685,-4.12831100,-1.73055800
-59.95950685,-4.12831100,-1.73345700
-59.95850685,-4.12831100,-1.73055800
-59.95750685,-4.12831100,-1.73345700
-59.95650685,-4.12831100,-1.73055800
-59.95550685,-4.12831100,-1.73055800
-59.95450685,-4.12831100,-1.73055800
-59.95350685,-4.12831100,-1.73055800
-59.95250685,-4.12831100,-1.73055800
-59.95150685,-4.12831100,-1.73345700
-59.95050685,-4.12831100,-1.73055800
-59.94950685,-4.12800600,-1.73055800
-59.94850685,-4.12800600,-1.72765800
-59.94750685,-4.12800600,-1.72765800
-59.94650685,-4.12800600,-1.73055800
-59.94550685,-4.12800600,-1.73055800
-59.94450685,-4.12800600,-1.73055800
-59.94350685,-4.12800600,-1.73055800
-59.94250685,-4.12800600,-1.72201200
-59.94150685,-4.12800600,-1.72201200
-59.94050685,-4.12800600,-1.73055800
-59.93950685,-4.12800600,-1.73055800
-59.93850685,-4.12800600,-1.73055800
-59.93750685,-4.12800600,-1.73055800
-59.93650685,-4.12770100,-1.73345700
-59.93550685,-4.12770100,-1.73055800
-59.93450685,-4.12770100,-1.73055800
-59.93350685,-4.12770100,-1.73055800
-59.93250685,-4.12770100,-1.73055800
-59.93150685,-4.12770100,-1.73345700
-59.93050685,-4.12770100,-1.72765800
-59.92950685,-4.12770100,-1.73055800
-59.92850685,-4.12770100,-1.73055800
-59.92750685,-4.12770100,-1.73055800
-59.92650685,-4.12770100,-1.72765800
-59.92550685,-4.12770100,-1.72765800
-59.92450685,-4.12770100,-1.72765800
-59.92350685,-4.12739600,-1.73055800
-59.92250685,-4.12739600,-1.73055800
-59.92150685,-4.12739600,-1.73055800
-59.92050685,-4.12739600,-1.72765800
-59.91950685,-4.12739600,-1.74215600
-59.91850685,-4.12739600,-1.73345700
-59.91750685,-4.12739600,-1.73055800
-59.91650685,-4.12739600,-1.72765800
-59.91550685,-4.12739600,-1.73055800
-59.91450685,-4.12739600,-1.73055800
-59.91350685,-4.12739600,-1.73055800
-59.91250685,-4.12739600,-1.73055800
-59.91150685,-4.12739600,-1.72765800
-59.91050685,-4.12739600,-1.72765800
-59.90950685,-4.12709000,-1.72765800
-59.90850685,-4.12709000,-1.73055800
-59.90750685,-4.12709000,-1.72765800
-59.90650685,-4.12709000,-1.72765800
-59.90550685,-4.12709000,-1.72765800
-59.90450685,-4.12709000,-1.73055800
-59.90350685,-4.12709000,-1.72765800
-59.90250685,-4.12709000,-1.72765800
-59.90150685,-4.12709000,-1.72765800
-59.90050685,-4.12709000,-1.72765800
-59.89950685,-4.12709000,-1.72765800
-59.89850685,-4.12709000,-1.72765800
-59.89750685,-4.12709000,-1.72201200
-59.89650685,-4.12678500,-1.73055800
-59.89550685,-4.12678500,-1.72491100
-59.89450685,-4.12678500,-1.72765800
-59.89350685,-4.12678500,-1.72765800
-59.89250685,-4.12678500,-1.72765800
-59.89150685,-4.12678500,-1.73055800
-59.89050685,-4.12678500,-1.72765800
-59.88950685,-4.12678500,-1.72765800
-59.88850685,-4.12678500,-1.72765800
-59.88750685,-4.12678500,-1.73055800
-59.88650685,-4.12678500,-1.72765800
-59.88550685,-4.12678500,-1.72765800
-59.88450685,-4.12678500,-1.73055800
-59.88350685,-4.12648000,-1.72765800
-59.88250685,-4.12648000,-1.72765800
-59.88150685,-4.12648000,-1.72491100
-59.88050685,-4.12648000,-1.72765800
-59.87950685,-4.12648000,-1.72765800
-59.87850685,-4.12648000,-1.73055800
-59.87750685,-4.12648000,-1.72491100
-59.87650685,-4.12648000,-1.72765800
-59.87550685,-4.12648000,-1.72765800
-59.87450685,-4.12648000,-1.72491100
-59.87350685,-4.12648000,-1.72765800
-59.87250685,-4.12648000,-1.72765800
-59.87150685,-4.12648000,-1.73055800
-59.87050685,-4.12648000,-1.72765800
-59.86950685,-4.12617400,-1.72765800
-59.86850685,-4.12617400,-1.72765800
-59.86750685,-4.12617400,-1.72765800
-59.86650685,-4.12617400,-1.72491100
-59.86550685,-4.12617400,-1.73055800
-59.86450685,-4.12617400,-1.72765800
-59.86350685,-4.12617400,-1.73055800
-59.86250685,-4.12617400,-1.72491100
-59.86150685,-4.12617400,-1.73055800
-59.86050685,-4.12617400,-1.72765800
-59.85950685,-4.12617400,-1.72765800
-59.85850685,-4.12617400,-1.72765800
-59.85750685,-4.12617400,-1.72765800
-59.85650685,-4.12587000,-1.72491100
-59.85550685,-4.12587000,-1.72765800
-59.85450685,-4.12587000,-1.72765800
-59.85350685,-4.12587000,-1.72765800
