Time,Channel A,Channel B
(ms),(mV),(V)

-60.00270897,-3.56519300,-1.73345700
-60.00170897,-3.56488800,-1.73055800
-60.00070897,-3.56488800,-1.73635700
-59.99970897,-3.56488800,-1.73345700
-59.99870897,-3.56488800,-1.73345700
-59.99770897,-3.56458300,-1.73345700
-59.99670897,-3.56458300,-1.73055800
-59.99570897,-3.56458300,-1.73635700
-59.99470897,-3.56458300,-1.73345700
-59.99370897,-3.56427800,-1.73055800
-59.99270897,-3.56427800,-1.73055800
-59.99170897,-3.56427800,-1.73055800
-59.99070897,-3.56397200,-1.73345700
-59.98970897,-3.56397200,-1.73345700
-59.98870897,-3.56397200,-1.73345700
-59.98770897,-3.56397200,-1.73055800
-59.98670897,-3.56366700,-1.73925700
-59.98570897,-3.56366700,-1.73925700
-59.98470897,-3.56366700,-1.73635700
-59.98370897,-3.56336200,-1.73345700
-59.98270897,-3.56336200,-1.73055800
-59.98170897,-3.56336200,-1.73345700
-59.98070897,-3.56336200,-1.73055800
-59.97970897,-3.56305700,-1.73345700
-59.97870897,-3.56305700,-1.73345700
-59.97770897,-3.56305700,-1.73345700
-59.97670897,-3.56305700,-1.73345700
-59.97570897,-3.56275200,-1.73345700
-59.97470897,-3.56275200,-1.73055800
-59.97370897,-3.56275200,-1.73345700
-59.97270897,-3.56244600,-1.73055800
-59.97170897,-3.56244600,-1.73055800
-59.97070897,-3.56244600,-1.73055800
-59.96970897,-3.56244600,-1.73055800
-59.96870897,-3.56214100,-1.73345700
-59.96770897,-3.56214100,-1.73055800
-59.96670897,-3.56214100,-1.73345700
-59.96570897,-3.56183600,-1.73055800
-59.96470897,-3.56183600,-1.73055800
-59.96370897,-3.56183600,-1.73055800
-59.96270897,-3.56183600,-1.72765800
-59.96170897,-3.56153100,-1.73635700
-59.96070897,-3.56153100,-1.73345700
-59.95970897,-3.56153100,-1.73055800
-59.95870897,-3.56153100,-1.73345700
-59.95770897,-3.56122500,-1.73345700
-59.95670897,-3.56122500,-1.73055800
-59.95570897,-3.56122500,-1.73055800
-59.95470897,-3.56092000,-1.73345700
-59.95370897,-3.56092000,-1.73055800
-59.95270897,-3.56092000,-1.73055800
-59.95170897,-3.56092000,-1.73345700
-59.95070897,-3.56061500,-1.73345700
-59.94970897,-3.56061500,-1.73345700
-59.94870897,-3.56061500,-1.73345700
-59.94770897,-3.56031000,-1.73345700
-59.94670897,-3.56031000,-1.73345700
-59.94570897,-3.56031000,-1.73345700
-59.94470897,-3.56031000,-1.73055800
-59.94370897,-3.56000400,-1.73055800
-59.94270897,-3.56000400,-1.73055800
-59.94170897,-3.56000400,-1.72765800
-59.94070897,-3.56000400,-1.72765800
-59.93970897,-3.55969900,-1.73345700
-59.93870897,-3.55969900,-1.73345700
-59.93770897,-3.55969900,-1.73055800
-59.93670897,-3.55939400,-1.73345700
-59.93570897,-3.55939400,-1.73055800
-59.93470897,-3.55939400,-1.72765800
-59.93370897,-3.55939400,-1.73055800
-59.93270897,-3.55908900,-1.73055800
-59.93170897,-3.55908900,-1.73345700
-59.93070897,-3.55908900,-1.73345700
-59.92970897,-3.55908900,-1.73345700
-59.92870897,-3.55878400,-1.73345700
-59.92770897,-3.55878400,-1.73055800
-59.92670897,-3.55878400,-1.73055800
-59.92570897,-3.55847900,-1.73055800
-59.92470897,-3.55847900,-1.73055800
-59.92370897,-3.55847900,-1.73055800
-59.92270897,-3.55847900,-1.73055800
-59.92170897,-3.55817300,-1.73055800
-59.92070897,-3.55817300,-1.73345700
-59.91970897,-3.55817300,-1.73055800
-59.91870897,-3.55817300,-1.73925700
-59.91770897,-3.55786800,-1.73345700
-59.91670897,-3.55786800,-1.73055800
-59.91570897,-3.55786800,-1.73055800
-59.91470897,-3.55756300,-1.73055800
-59.91370897,-3.55756300,-1.72765800
-59.91270897,-3.55756300,-1.73055800
-59.91170897,-3.55756300,-1.72765800
-59.91070897,-3.55725800,-1.73055800
-59.90970897,-3.55725800,-1.73055800
-59.90870897,-3.55725800,-1.73055800
-59.90770897,-3.55725800,-1.73055800
-59.90670897,-3.55695200,-1.73055800
-59.90570897,-3.55695200,-1.73055800
-59.90470897,-3.55695200,-1.73055800
-59.90370897,-3.55664700,-1.73055800
-59.90270897,-3.55664700,-1.73055800
-59.90170897,-3.55664700,-1.73055800
-59.90070897,-3.55664700,-1.72765800
-59.89970897,-3.55634200,-1.73055800
-59.89870897,-3.55634200,-1.73345700
-59.89770897,-3.55634200,-1.73055800
-59.89670897,-3.55634200,-1.72765800
-59.89570897,-3.55603700,-1.71911200
-59.89470897,-3.55603700,-1.73345700
-59.89370897,-3.55603700,-1.73055800
-59.89270897,-3.55573200,-1.73055800
-59.89170897,-3.55573200,-1.72765800
-59.89070897,-3.55573200,-1.73345700
-59.88970897,-3.55573200,-1.73055800
-59.88870897,-3.55542600,-1.72765800
-59.88770897,-3.55542600,-1.73345700
-59.88670897,-3.55542600,-1.72765800
-59.88570897,-3.55542600,-1.73055800
-59.88470897,-3.55512100,-1.72765800
-59.88370897,-3.55512100,-1.72765800
-59.88270897,-3.55512100,-1.73055800
-59.88170897,-3.55481600,-1.72765800
-59.88070897,-3.55481600,-1.72765800
-59.87970897,-3.55481600,-1.72765800
-59.87870897,-3.55481600,-1.72765800
-59.87770897,-3.55451100,-1.73055800
-59.87670897,-3.55451100,-1.72765800
-59.87570897,-3.55451100,-1.73055800
-59.87470897,-3.55451100,-1.73055800
-59.87370897,-3.55420600,-1.72765800
-59.87270897,-3.55420600,-1.73055800
-59.87170897,-3.55420600,-1.73055800
-59.87070897,-3.55390000,-1.73055800
-59.86970897,-3.55390000,-1.72765800
-59.86870897,-3.55390000,-1.72765800
-59.86770897,-3.55390000,-1.73345700
-59.86670897,-3.55359500,-1.73055800
-59.86570897,-3.55359500,-1.72765800
-59.86470897,-3.55359500,-1.72765800
-59.86370897,-3.55359500,-1.72765800
-59.86270897,-3.55329000,-1.73055800
-59.86170897,-3.55329000,-1.72765800
-59.86070897,-3.55329000,-1.73055800
-59.85970897,-3.55298500,-1.73055800
-59.85870897,-3.55298500,-1.73055800
-59.85770897,-3.55298500,-1.72765800
-59.85670897,-3.55298500,-1.73055800
-59.85570897,-3.55268000,-1.72765800
-59.85470897,-3.55268000,-1.73055800
-59.85370897,-3.55268000,-1.72765800
