Time,Channel A,Channel B
(ms),(mV),(V)

-60.00263621,-7.20668900,-1.73345700
-60.00163621,-7.20668900,-1.73635700
-60.00063621,-7.20668900,-1.73055800
-59.99963621,-7.20668900,-1.73345700
-59.99863621,-7.20699500,-1.73345700
-59.99763621,-7.20699500,-1.73635700
-59.99663621,-7.20699500,-1.73345700
-59.99563621,-7.20699500,-1.73055800
-59.99463621,-7.20730000,-1.73635700
-59.99363621,-7.20730000,-1.73345700
-59.99263621,-7.20730000,-1.73635700
-59.99163621,-7.20730000,-1.73345700
-59.99063621,-7.20760500,-1.73345700
-59.98963621,-7.20760500,-1.73345700
-59.98863621,-7.20760500,-1.73345700
-59.98763621,-7.20791100,-1.73345700
-59.98663621,-7.20791100,-1.73345700
-59.98563621,-7.20791100,-1.73055800
-59.98463621,-7.20791100,-1.73345700
-59.98363621,-7.20821600,-1.73345700
-59.98263621,-7.20821600,-1.73345700
-59.98163621,-7.20821600,-1.73345700
-59.98063621,-7.20821600,-1.73345700
-59.97963621,-7.20852100,-1.73635700
-59.97863621,-7.20852100,-1.73345700
-59.97763621,-7.20852100,-1.73345700
-59.97663621,-7.20852100,-1.73635700
-59.97563621,-7.20882600,-1.73345700
-59.97463621,-7.20882600,-1.73055800
-59.97363621,-7.20882600,-1.73345700
-59.97263621,-7.20882600,-1.73345700
-59.97163621,-7.20913200,-1.73345700
-59.97063621,-7.20913200,-1.73345700
-59.96963621,-7.20913200,-1.73635700
-59.96863621,-7.20943600,-1.73345700
-59.96763621,-7.20943600,-1.73345700
-59.96663621,-7.20943600,-1.73345700
-59.96563621,-7.20943600,-1.73635700
-59.96463621,-7.20974200,-1.73635700
-59.96363621,-7.20974200,-1.73345700
-59.96263621,-7.20974200,-1.73345700
-59.96163621,-7.20974200,-1.73055800
-59.96063621,-7.21004700,-1.73345700
-59.95963621,-7.21004700,-1.73345700
-59.95863621,-7.21004700,-1.73345700
-59.95763621,-7.21004700,-1.73345700
-59.95663621,-7.21035200,-1.73055800
-59.95563621,-7.21035200,-1.73055800
-59.95463621,-7.21035200,-1.73055800
-59.95363621,-7.21065800,-1.73345700
-59.95263621,-7.21065800,-1.73345700
-59.95163621,-7.21065800,-1.73345700
-59.95063621,-7.21065800,-1.73055800
-59.94963621,-7.21096200,-1.73345700
-59.94863621,-7.21096200,-1.73345700
-59.94763621,-7.21096200,-1.73345700
-59.94663621,-7.21096200,-1.73345700
-59.94563621,-7.21126800,-1.73345700
-59.94463621,-7.21126800,-1.73635700
-59.94363621,-7.21126800,-1.73055800
-59.94263621,-7.21126800,-1.73055800
-59.94163621,-7.21157300,-1.72765800
-59.94063621,-7.21157300,-1.73635700
-59.93963621,-7.21157300,-1.73345700
-59.93863621,-7.21157300,-1.72765800
-59.93763621,-7.21187800,-1.73055800
-59.93663621,-7.21187800,-1.73055800
-59.93563621,-7.21187800,-1.73345700
-59.93463621,-7.21218300,-1.73055800
-59.93363621,-7.21218300,-1.73345700
-59.93263621,-7.21218300,-1.73345700
-59.93163621,-7.21218300,-1.73055800
-59.93063621,-7.21248900,-1.73055800
-59.92963621,-7.21248900,-1.72765800
-59.92863621,-7.21248900,-1.73055800
-59.92763621,-7.21248900,-1.73345700
-59.92663621,-7.21279400,-1.73055800
-59.92563621,-7.21279400,-1.73055800
-59.92463621,-7.21279400,-1.73055800
-59.92363621,-7.21279400,-1.73345700
-59.92263621,-7.21309900,-1.73055800
-59.92163621,-7.21309900,-1.73055800
-59.92063621,-7.21309900,-1.71911200
-59.91963621,-7.21340500,-1.72765800
-59.91863621,-7.21340500,-1.73345700
-59.91763621,-7.21340500,-1.73055800
-59.91663621,-7.21340500,-1.73055800
-59.91563621,-7.21370900,-1.72765800
-59.91463621,-7.21370900,-1.73345700
-59.91363621,-7.21370900,-1.73055800
-59.91263621,-7.21370900,-1.73055800
-59.91163621,-7.21401500,-1.73055800
-59.91063621,-7.21401500,-1.73055800
-59.90963621,-7.21401500,-1.73055800
-59.90863621,-7.21401500,-1.73345700
-59.90763621,-7.21432000,-1.73055800
-59.90663621,-7.21432000,-1.73345700
-59.90563621,-7.21432000,-1.73055800
-59.90463621,-7.21462500,-1.73055800
-59.90363621,-7.21462500,-1.73055800
-59.90263621,-7.21462500,-1.73055800
-59.90163621,-7.21462500,-1.73055800
-59.90063621,-7.21493100,-1.73055800
-59.89963621,-7.21493100,-1.73345700
-59.89863621,-7.21493100,-1.73055800
-59.89763621,-7.21493100,-1.73925700
-59.89663621,-7.21523600,-1.73345700
-59.89563621,-7.21523600,-1.73055800
-59.89463621,-7.21523600,-1.73055800
-59.89363621,-7.21523600,-1.73055800
-59.89263621,-7.21554100,-1.72765800
-59.89163621,-7.21554100,-1.73055800
-59.89063621,-7.21554100,-1.73055800
-59.88963621,-7.21584700,-1.73055800
-59.88863621,-7.21584700,-1.73345700
-59.88763621,-7.21584700,-1.73055800
-59.88663621,-7.21584700,-1.73055800
-59.88563621,-7.21615100,-1.72765800
-59.88463621,-7.21615100,-1.73055800
-59.88363621,-7.21615100,-1.73055800
-59.88263621,-7.21615100,-1.73055800
-59.88163621,-7.21645600,-1.73055800
-59.88063621,-7.21645600,-1.73055800
-59.87963621,-7.21645600,-1.72765800
-59.87863621,-7.21645600,-1.72765800
-59.87763621,-7.21676200,-1.72765800
-59.87663621,-7.21676200,-1.72765800
-59.87563621,-7.21676200,-1.73055800
-59.87463621,-7.21706700,-1.71911200
-59.87363621,-7.21706700,-1.73055800
-59.87263621,-7.21706700,-1.72765800
-59.87163621,-7.21706700,-1.72765800
-59.87063621,-7.21737200,-1.73055800
-59.86963621,-7.21737200,-1.72765800
-59.86863621,-7.21737200,-1.73055800
-59.86763621,-7.21737200,-1.73055800
-59.86663621,-7.21767700,-1.72765800
-59.86563621,-7.21767700,-1.73055800
-59.86463621,-7.21767700,-1.73055800
-59.86363621,-7.21767700,-1.72765800
-59.86263621,-7.21798300,-1.72491100
-59.86163621,-7.21798300,-1.72765800
-59.86063621,-7.21798300,-1.72765800
-59.85963621,-7.21828800,-1.73055800
-59.85863621,-7.21828800,-1.72765800
-59.85763621,-7.21828800,-1.72765800
-59.85663621,-7.21828800,-1.73055800
-59.85563621,-7.21859300,-1.73055800
-59.85463621,-7.21859300,-1.72765800
-59.85363621,-7.21859300,-1.72765800
