Time,Channel A,Channel B
(ms),(mV),(V)

-60.00263621,-0.09095348,-1.73345700
-60.00163621,-0.09064827,-1.73345700
-60.00063621,-0.09034305,-1.73345700
-59.99963621,-0.09034305,-1.73345700
-59.99863621,-0.09003784,-1.73345700
-59.99763621,-0.08973262,-1.73345700
-59.99663621,-0.08942741,-1.73055800
-59.99563621,-0.08912221,-1.73345700
-59.99463621,-0.08881699,-1.73055800
-59.99363621,-0.08851177,-1.73055800
-59.99263621,-0.08820656,-1.72765800
-59.99163621,-0.08790135,-1.73345700
-59.99063621,-0.08759613,-1.73345700
-59.98963621,-0.08729093,-1.73345700
-59.98863621,-0.08698571,-1.72765800
-59.98763621,-0.08668049,-1.73055800
-59.98663621,-0.08637528,-1.73055800
-59.98563621,-0.08637528,-1.73345700
-59.98463621,-0.08607007,-1.73345700
-59.98363621,-0.08576486,-1.73345700
-59.98263621,-0.08545964,-1.73345700
-59.98163621,-0.08515444,-1.73345700
-59.98063621,-0.08484922,-1.73055800
-59.97963621,-0.08454400,-1.73055800
-59.97863621,-0.08423879,-1.72765800
-59.97763621,-0.08393358,-1.73055800
-59.97663621,-0.08362836,-1.73055800
-59.97563621,-0.08332316,-1.73055800
-59.97463621,-0.08301795,-1.73055800
-59.97363621,-0.08271272,-1.73055800
-59.97263621,-0.08271272,-1.73055800
-59.97163621,-0.08240751,-1.73055800
-59.97063621,-0.08210230,-1.73055800
-59.96963621,-0.08179709,-1.73055800
-59.96863621,-0.08149188,-1.73345700
-59.96763621,-0.08118667,-1.73055800
-59.96663621,-0.08088145,-1.72201200
-59.96563621,-0.08057623,-1.72765800
-59.96463621,-0.08027102,-1.73055800
-59.96363621,-0.07996581,-1.73055800
-59.96263621,-0.07966060,-1.73345700
-59.96163621,-0.07935539,-1.73345700
-59.96063621,-0.07905017,-1.73055800
-59.95963621,-0.07874496,-1.73345700
-59.95863621,-0.07874496,-1.73055800
-59.95763621,-0.07843974,-1.73345700
-59.95663621,-0.07813453,-1.72765800
-59.95563621,-0.07782932,-1.73055800
-59.95463621,-0.07752411,-1.73055800
-59.95363621,-0.07721890,-1.73345700
-59.95263621,-0.07691368,-1.73345700
-59.95163621,-0.07660846,-1.73345700
-59.95063621,-0.07630325,-1.73055800
-59.94963621,-0.07599805,-1.73055800
-59.94863621,-0.07569283,-1.73055800
-59.94763621,-0.07538762,-1.73055800
-59.94663621,-0.07508240,-1.73055800
-59.94563621,-0.07508240,-1.73055800
-59.94463621,-0.07477719,-1.73055800
-59.94363621,-0.07447197,-1.73055800
-59.94263621,-0.07416677,-1.73635700
-59.94163621,-0.07386155,-1.73345700
-59.94063621,-0.07355634,-1.73055800
-59.93963621,-0.07325112,-1.72765800
-59.93863621,-0.07294591,-1.73055800
-59.93763621,-0.07264069,-1.73055800
-59.93663621,-0.07233548,-1.73055800
-59.93563621,-0.07203028,-1.73345700
-59.93463621,-0.07172506,-1.73055800
-59.93363621,-0.07141984,-1.72765800
-59.93263621,-0.07141984,-1.73055800
-59.93163621,-0.07111463,-1.73055800
-59.93063621,-0.07080942,-1.73055800
-59.92963621,-0.07050420,-1.73055800
-59.92863621,-0.07019900,-1.72765800
-59.92763621,-0.06989378,-1.73055800
-59.92663621,-0.06958857,-1.72765800
-59.92563621,-0.06928335,-1.73345700
-59.92463621,-0.06897814,-1.73055800
-59.92363621,-0.06867293,-1.72765800
-59.92263621,-0.06836772,-1.72765800
-59.92163621,-0.06806251,-1.72765800
-59.92063621,-0.06775729,-1.73055800
-59.91963621,-0.06775729,-1.72765800
-59.91863621,-0.06745207,-1.73055800
-59.91763621,-0.06714686,-1.73055800
-59.91663621,-0.06684165,-1.72765800
-59.91563621,-0.06653644,-1.72765800
-59.91463621,-0.06623123,-1.72765800
-59.91363621,-0.06592602,-1.72765800
-59.91263621,-0.06562079,-1.72765800
-59.91163621,-0.06531558,-1.72765800
-59.91063621,-0.06501037,-1.72765800
-59.90963621,-0.06470516,-1.72765800
-59.90863621,-0.06439995,-1.73055800
-59.90763621,-0.06409474,-1.73055800
-59.90663621,-0.06378952,-1.73055800
-59.90563621,-0.06378952,-1.73055800
-59.90463621,-0.06348430,-1.73055800
-59.90363621,-0.06317909,-1.73055800
-59.90263621,-0.06287389,-1.73055800
-59.90163621,-0.06256867,-1.73055800
-59.90063621,-0.06226346,-1.72765800
-59.89963621,-0.06195825,-1.73055800
-59.89863621,-0.06165303,-1.73925700
-59.89763621,-0.06134782,-1.72491100
-59.89663621,-0.06104260,-1.72765800
-59.89563621,-0.06073739,-1.73055800
-59.89463621,-0.06043218,-1.72765800
-59.89363621,-0.06012696,-1.73055800
-59.89263621,-0.06012696,-1.72765800
-59.89163621,-0.05982175,-1.72765800
-59.89063621,-0.05951654,-1.73055800
-59.88963621,-0.05921132,-1.73055800
-59.88863621,-0.05890611,-1.72765800
-59.88763621,-0.05860090,-1.72765800
-59.88663621,-0.05829569,-1.73055800
-59.88563621,-0.05799047,-1.73055800
-59.88463621,-0.05768526,-1.73055800
-59.88363621,-0.05738005,-1.73055800
-59.88263621,-0.05707483,-1.72765800
-59.88163621,-0.05676962,-1.72765800
-59.88063621,-0.05646441,-1.72765800
-59.87963621,-0.05646441,-1.72765800
-59.87863621,-0.05615919,-1.73055800
-59.87763621,-0.05585399,-1.73055800
-59.87663621,-0.05554877,-1.72765800
-59.87563621,-0.05524356,-1.72491100
-59.87463621,-0.05493834,-1.73055800
-59.87363621,-0.05463313,-1.73055800
-59.87263621,-0.05432792,-1.72765800
-59.87163621,-0.05402270,-1.73055800
-59.87063621,-0.05371749,-1.73055800
-59.86963621,-0.05341228,-1.73055800
-59.86863621,-0.05310706,-1.73345700
-59.86763621,-0.05280185,-1.72765800
-59.86663621,-0.05249664,-1.72765800
-59.86563621,-0.05249664,-1.72765800
-59.86463621,-0.05219143,-1.72765800
-59.86363621,-0.05188621,-1.72765800
-59.86263621,-0.05158100,-1.72765800
-59.86163621,-0.05127579,-1.72765800
-59.86063621,-0.05097057,-1.72765800
-59.85963621,-0.05066536,-1.72765800
-59.85863621,-0.05036015,-1.72765800
-59.85763621,-0.05005494,-1.72765800
-59.85663621,-0.04974972,-1.72765800
-59.85563621,-0.04944451,-1.72765800
-59.85463621,-0.04913930,-1.73055800
-59.85363621,-0.04883408,-1.72491100
