Time,Channel A,Channel B
(ms),(mV),(V)

-60.00292541,-2.99017200,-1.73925700
-60.00192541,-2.99017200,-1.73925700
-60.00092541,-2.98986700,-1.73635700
-59.99992541,-2.98956200,-1.73635700
-59.99892541,-2.98956200,-1.73635700
-59.99792541,-2.98925600,-1.73925700
-59.99692541,-2.98895100,-1.73925700
-59.99592541,-2.98895100,-1.73925700
-59.99492541,-2.98864600,-1.74215600
-59.99392541,-2.98864600,-1.73925700
-59.99292541,-2.98834100,-1.73925700
-59.99192541,-2.98803500,-1.73635700
-59.99092541,-2.98803500,-1.73635700
-59.98992541,-2.98773000,-1.73635700
-59.98892541,-2.98742500,-1.73635700
-59.98792541,-2.98742500,-1.73925700
-59.98692541,-2.98712000,-1.73635700
-59.98592541,-2.98712000,-1.74215600
-59.98492541,-2.98681500,-1.73925700
-59.98392541,-2.98650900,-1.73635700
-59.98292541,-2.98650900,-1.73925700
-59.98192541,-2.98620400,-1.73925700
-59.98092541,-2.98620400,-1.73925700
-59.97992541,-2.98589900,-1.73925700
-59.97892541,-2.98559400,-1.73925700
-59.97792541,-2.98559400,-1.73925700
-59.97692541,-2.98528800,-1.73635700
-59.97592541,-2.98498300,-1.73635700
-59.97492541,-2.98498300,-1.73635700
-59.97392541,-2.98467800,-1.73635700
-59.97292541,-2.98467800,-1.74780200
-59.97192541,-2.98437300,-1.74505600
-59.97092541,-2.98406800,-1.73635700
-59.96992541,-2.98406800,-1.73345700
-59.96892541,-2.98376300,-1.73635700
-59.96792541,-2.98376300,-1.73635700
-59.96692541,-2.98345700,-1.73925700
-59.96592541,-2.98315200,-1.73925700
-59.96492541,-2.98315200,-1.73925700
-59.96392541,-2.98284700,-1.73635700
-59.96292541,-2.98254200,-1.73925700
-59.96192541,-2.98254200,-1.73925700
-59.96092541,-2.98223600,-1.73925700
-59.95992541,-2.98223600,-1.73635700
-59.95892541,-2.98193100,-1.73925700
-59.95792541,-2.98162600,-1.73635700
-59.95692541,-2.98162600,-1.73635700
-59.95592541,-2.98132100,-1.73635700
-59.95492541,-2.98101500,-1.73345700
-59.95392541,-2.98101500,-1.73635700
-59.95292541,-2.98071000,-1.73635700
-59.95192541,-2.98071000,-1.73345700
-59.95092541,-2.98040500,-1.73925700
-59.94992541,-2.98010000,-1.73635700
-59.94892541,-2.98010000,-1.73055800
-59.94792541,-2.97979500,-1.73925700
-59.94692541,-2.97979500,-1.73925700
-59.94592541,-2.97949000,-1.73635700
-59.94492541,-2.97918400,-1.73635700
-59.94392541,-2.97918400,-1.73635700
-59.94292541,-2.97887900,-1.73635700
-59.94192541,-2.97857400,-1.73635700
-59.94092541,-2.97857400,-1.73635700
-59.93992541,-2.97826900,-1.73635700
-59.93892541,-2.97826900,-1.73635700
-59.93792541,-2.97796300,-1.73925700
-59.93692541,-2.97765800,-1.73925700
-59.93592541,-2.97765800,-1.73635700
-59.93492541,-2.97735300,-1.73925700
-59.93392541,-2.97735300,-1.73635700
-59.93292541,-2.97704800,-1.73635700
-59.93192541,-2.97674300,-1.73635700
-59.93092541,-2.97674300,-1.73635700
-59.92992541,-2.97643700,-1.73925700
-59.92892541,-2.97613200,-1.73925700
-59.92792541,-2.97613200,-1.73635700
-59.92692541,-2.97582700,-1.73345700
-59.92592541,-2.97582700,-1.73635700
-59.92492541,-2.97552200,-1.73345700
-59.92392541,-2.97521600,-1.73635700
-59.92292541,-2.97521600,-1.73925700
-59.92192541,-2.97491100,-1.73635700
-59.92092541,-2.97491100,-1.73635700
-59.91992541,-2.97460600,-1.73345700
-59.91892541,-2.97430100,-1.73635700
-59.91792541,-2.97430100,-1.73635700
-59.91692541,-2.97399600,-1.73635700
-59.91592541,-2.97369100,-1.73345700
-59.91492541,-2.97369100,-1.73635700
-59.91392541,-2.97338500,-1.73635700
-59.91292541,-2.97338500,-1.73635700
-59.91192541,-2.97308000,-1.73635700
-59.91092541,-2.97277500,-1.73345700
-59.90992541,-2.97277500,-1.73635700
-59.90892541,-2.97247000,-1.73345700
-59.90792541,-2.97247000,-1.73635700
-59.90692541,-2.97216400,-1.73345700
-59.90592541,-2.97185900,-1.73345700
-59.90492541,-2.97185900,-1.73635700
-59.90392541,-2.97155400,-1.73925700
-59.90292541,-2.97155400,-1.73345700
-59.90192541,-2.97124900,-1.73345700
-59.90092541,-2.97094300,-1.73635700
-59.89992541,-2.97094300,-1.73635700
-59.89892541,-2.97063800,-1.73345700
-59.89792541,-2.97033300,-1.73635700
-59.89692541,-2.97033300,-1.73345700
-59.89592541,-2.97002800,-1.73635700
-59.89492541,-2.97002800,-1.73345700
-59.89392541,-2.96972300,-1.73635700
-59.89292541,-2.96941800,-1.73635700
-59.89192541,-2.96941800,-1.73635700
-59.89092541,-2.96911200,-1.73345700
-59.88992541,-2.96911200,-1.73345700
-59.88892541,-2.96880700,-1.73345700
-59.88792541,-2.96850200,-1.73635700
-59.88692541,-2.96850200,-1.73635700
-59.88592541,-2.96819700,-1.73635700
-59.88492541,-2.96819700,-1.73055800
-59.88392541,-2.96789100,-1.73635700
-59.88292541,-2.96758600,-1.73345700
-59.88192541,-2.96758600,-1.72765800
-59.88092541,-2.96728100,-1.73055800
-59.87992541,-2.96697600,-1.73345700
-59.87892541,-2.96697600,-1.73345700
-59.87792541,-2.96667100,-1.73925700
-59.87692541,-2.96667100,-1.73345700
-59.87592541,-2.96636500,-1.73345700
-59.87492541,-2.96606000,-1.73345700
-59.87392541,-2.96606000,-1.73635700
-59.87292541,-2.96575500,-1.73635700
-59.87192541,-2.96575500,-1.73345700
-59.87092541,-2.96545000,-1.73345700
-59.86992541,-2.96514400,-1.73345700
-59.86892541,-2.96514400,-1.73345700
-59.86792541,-2.96483900,-1.73345700
-59.86692541,-2.96483900,-1.73345700
-59.86592541,-2.96453400,-1.73635700
-59.86492541,-2.96422900,-1.73635700
-59.86392541,-2.96422900,-1.73635700
-59.86292541,-2.96392400,-1.73345700
-59.86192541,-2.96392400,-1.73055800
-59.86092541,-2.96361900,-1.73635700
-59.85992541,-2.96331300,-1.73345700
-59.85892541,-2.96331300,-1.73345700
-59.85792541,-2.96300800,-1.73635700
-59.85692541,-2.96270300,-1.73345700
-59.85592541,-2.96270300,-1.73055800
-59.85492541,-2.96239800,-1.73345700
-59.85392541,-2.96239800,-1.73345700
